marketmaker,session,role,variable,n,q
gain,1-10,buyer,10,1,31
gain,1-10,buyer,12,2,30
gain,1-10,buyer,13,4,28
gain,1-10,buyer,15,3,24
gain,1-10,buyer,16,3,21
gain,1-10,buyer,18,3,18
gain,1-10,buyer,19,1,15
gain,1-10,buyer,22,2,14
gain,1-10,buyer,24,2,12
gain,1-10,buyer,25,4,10
gain,1-10,buyer,27,5,6
gain,1-10,buyer,28,1,1
gain,1-10,seller,2,1,1
gain,1-10,seller,3,1,2
gain,1-10,seller,5,2,4
gain,1-10,seller,6,3,7
gain,1-10,seller,8,3,10
gain,1-10,seller,9,2,12
gain,1-10,seller,11,4,16
gain,1-10,seller,14,1,17
gain,1-10,seller,15,1,18
gain,1-10,seller,17,1,19
gain,1-10,seller,18,1,20
gain,11-20,buyer,11,3,13
gain,11-20,buyer,14,2,10
gain,11-20,buyer,17,1,8
gain,11-20,buyer,20,2,7
gain,11-20,buyer,23,3,5
gain,11-20,buyer,26,1,2
gain,11-20,buyer,29,1,1
gain,11-20,seller,1,2,2
gain,11-20,seller,4,1,3
gain,11-20,seller,7,1,4
gain,11-20,seller,13,4,8
gain,11-20,seller,16,1,9
gain,11-20,seller,19,1,10
loss,1-10,buyer,11,2,12
loss,1-10,buyer,14,1,10
loss,1-10,buyer,20,5,9
loss,1-10,buyer,23,1,4
loss,1-10,buyer,26,3,3
loss,1-10,seller,1,3,3
loss,1-10,seller,4,1,4
loss,1-10,seller,7,3,7
loss,1-10,seller,10,3,10
loss,1-10,seller,13,3,13
loss,1-10,seller,16,1,14
loss,1-10,seller,19,2,16
loss,11-20,buyer,10,3,31
loss,11-20,buyer,12,7,28
loss,11-20,buyer,15,1,21
loss,11-20,buyer,16,4,20
loss,11-20,buyer,18,4,16
loss,11-20,buyer,19,2,12
loss,11-20,buyer,21,1,10
loss,11-20,buyer,22,2,9
loss,11-20,buyer,24,2,7
loss,11-20,buyer,25,1,5
loss,11-20,buyer,27,2,4
loss,11-20,buyer,28,2,2
loss,11-20,seller,2,1,1
loss,11-20,seller,5,3,4
loss,11-20,seller,6,3,7
loss,11-20,seller,8,4,11
loss,11-20,seller,11,2,13
loss,11-20,seller,14,2,15
loss,11-20,seller,15,3,18
loss,11-20,seller,17,2,20
loss,11-20,seller,20,3,23
